"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TW-20250618",0,0.0459565804771909,0.00372864735432222,0.0579040472293623,0.0176304704879806,0.144641199047896,0.0281079381605086,0,0,0,0.084261020950748,0,0.106800795293001,0,0,0.0386684621179912,0,0.012044311034446,0.00192816639000865,0,0,0.458328361456545,0,0.577121391544006,0.828856077575797
"Control1",0,0.039526535339113,0,0.0477490117085973,0.0479188573830126,0.169361214329865,0.00780106778881054,0,0,0,0.0759413750148438,0,0.0588019389421144,0,0,0.0151212029693399,0,0.00537010602747708,0.018950772271111,0,0,0.513457918225715,0,0.67395945699715,0.746264285751421
"Control2",0.0166719960470745,0.0214617569236545,0,0.102402545931699,0.0412920576408623,0.16366467540582,0.00429484577312969,0,0,0,0.0977319664945842,0,0.0348116847314806,0,0,0.0315866492482182,0,0.0125494913837012,0,0,0,0.473532330419775,0,0.663592328673075,0.753210038782012
"Control3",0.00186850236364446,0.0280765981964789,0,0.103861621499729,0,0.213206132473102,0.00271783831013331,0,0.000233195110008573,0,0.0770424234162818,0,0.0397267691995167,0.00470956130202683,0,0,0,0,0.0213481115509812,0,0,0.507209246578097,0,0.603923691545444,0.813198172495928
"Control4",0.0144735704857013,0.0121398788455314,0,0.0970544625154079,0.0335824795577567,0.135271526919746,0.0234423674539909,0,0,0,0.115505690735725,0,0.106429157889138,0,0,0.034800397980607,0,0.000953827826825552,0.00636084487094063,0,0,0.419985794918629,0,0.672622379349212,0.742448625850975
"Control5",0,0.0304294290107479,0,0.0919274417147447,0.0157237338617433,0.157362031366046,0.0137056937981353,0,0,0,0.162966458926731,0,0.13306424693442,0,0,0,0,0,0.0135683945432911,0,0,0.381252569844142,0,0.639161264551735,0.771586534124003
"Control6",0.0425533709289639,0,0,0.0814348836888444,0,0.232755681285972,0,0,0.0139526957044112,0,0.070623139796082,0.00628261762233255,0.11815718886351,0,0,0.00606417668372651,0,0,0.0286484342975249,0,0,0.399527811128633,0,0.580919170650001,0.819238018196002
"Control7",0.0021040485009526,0.0552048250434357,0,0.139186784629817,0.029800395487554,0.154446614850318,0.0451233828612293,0,0,0,0.115012906648473,0,0.0479489242416999,0,0,0.0720451351333167,0,0.0282788307885763,0.00118858906660294,0,0,0.309659562748024,0.01,0.35465601823849,0.959340854689507
"Control8",0.0162366063083205,0.00414588918169985,0,0.06980298712491,0,0.279458868260473,0.0218957963998536,0,0,0,0.0921203827611293,0,0.10105624468782,0,0,0.0116144238898341,0,0.00627514112734979,0.0013003723156224,0,0,0.396093287942987,0,0.575668216397887,0.823410594497774
"Control9",0.0365018236605148,0,0,0.137252979972152,0.0371763157660889,0.187146380202156,0.0111691967256064,0,0,0,0.0841540672336512,0,0.111799713990189,0,0,0.0422310035472709,0,0.00902288465991701,0.0111095453461978,0,0,0.332436088896255,0,0.559475500245847,0.830877067644489
