sample,library_size
CZJE_PBMC,287176.966466549
G4YW_CD8_TE,275389.272685171
G4YW_MAIT,265107.129701579
G4YW_VD2+,259021.117398178
G4YW_VD2-,264139.587395793
G4YW_TFH,269617.293384294
G4YW_Treg,267534.828919803
G4YW_Th1,261663.531890067
G4YW_Th1/Th17,275266.071103708
G4YW_Th17,294783.604917157
G4YW_Th2,282786.173837672
G4YW_CD4_naive,276178.602935942
G4YW_Progenitor,305468.901499464
G4YW_B_naive,294528.460167539
G4YW_B_NSM,310792.989994136
G4YW_B_Ex,308454.349782104
G4YW_B_SM,321016.824719747
G4YW_Plasmablasts,268342.658707962
G4YW_C_mono,302020.361207318
G4YW_I_mono,291728.500825069
G4YW_NC_mono,300637.86903142
G4YW_NK,287010.079916805
G4YW_pDC,312002.327503823
G4YW_mDC,320034.57028634
G4YW_Neutrophils,338829.996130994
G4YW_Basophils,303283.949918383
DZQV_PBMC,274031.995254809
925L_PBMC,271292.195542724
9JD4_PBMC,260693.319383045
G4YW_PBMC,271657.923254908
4DUY_PBMC,265883.440654574
36TS_PBMC,266453.95248795
CR3L_PBMC,284044.822181658
